"ID","Variable","MetadataSchema","PurposeOfUse1","Metadata_schema_coded","Metadata_schemas_TTRAM_1","PurposeOfUse1_coded"
86,1,"Dublin Core","Core metadata schema used for describing all items in the repository","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
86,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
86,3,,,,,
86,4,,,,,
86,5,,,,,
87,1,,,,,
87,2,,,,,
87,3,,,,,
87,4,,,,,
87,5,,,,,
88,1,,,,,
88,2,,,,,
88,3,,,,,
88,4,,,,,
88,5,,,,,
89,1,"DDI","To describe the datasets and data files","DDI","Discovery & Identification","Data description"
89,2,"DataCite","To describe the datasets","DataCite Metadata Schema","Discovery & Identification","Data description"
89,3,"Dublin Core","To describe the datasets","Dublin Core","Discovery & Identification","Data description"
89,4,"OpenAIRE","To describe the datasets","OpenAIRE","Discovery & Identification",
89,5,"Schema.org","To describe the datasets","Schema.org","Discovery & Identification","Data description"
90,1,,,,,
90,2,,,,,
90,3,,,,,
90,4,,,,,
90,5,,,,,
91,1,,,,,
91,2,,,,,
91,3,,,,,
91,4,,,,,
91,5,,,,,
92,1,"DataCite","Discovery and identification","Datacite Metadata Schema","Discovery & Identification, Access","Discovery facilitation and discovery metadata"
92,2,,,,,
92,3,,,,,
92,4,,,,,
92,5,,,,,
93,1,,,,,
93,2,,,,,
93,3,,,,,
93,4,,,,,
93,5,,,,,
94,1,,,,,
94,2,,,,,
94,3,,,,,
94,4,,,,,
94,5,,,,,
95,1,"DDI","Used for data descriptions including variable descriptions. FSD uses about a third of the elements of DDI-Codebook. Our repository's metadata descriptions are machine-harvestable in DDI Codebook, OAI Dublin Core, and EAD3 formats","DDI","Discovery & Identification","Data description"
95,1,"DDI","Used for data descriptions including variable descriptions. FSD uses about a third of the elements of DDI-Codebook. Our repository's metadata descriptions are machine-harvestable in DDI Codebook, OAI Dublin Core, and EAD3 formats","DDI","Discovery & Identification, Reuse","Variable description"
95,2,"Dublin Core","Used to describe and categorize digital objects. Our repository's metadata descriptions are machine-harvestable in DDI Codebook, OAI Dublin Core, and EAD3 formats","Dublin Core","Discovery & Identification","Data description"
95,3,"EAD","Used to describe and categorize digital objects. Our repository's metadata descriptions are machine-harvestable in DDI Codebook, OAI Dublin Core, and EAD3 formats","EAD","Discovery & Identification","Data description"
95,3,"EAD","Used to describe and categorize digital objects. Our repository's metadata descriptions are machine-harvestable in DDI Codebook, OAI Dublin Core, and EAD3 formats","EAD","Discovery & Identification, Access","Data categorization"
95,4,,,,,
95,5,,,,,
96,1,"Schema.org",,"Schema.org",,
96,2,"Core Attribute of Biological Databases",,"Core Attribute of Biological Databases",,
96,3,"Bioschema Dataset Profile",,"Bioschema Dataset Profile",,
96,4,,,,,
96,5,,,,,
97,1,,,,,
97,2,,,,,
97,3,,,,,
97,4,,,,,
97,5,,,,,
98,1,"Dublin Core","Shared descriptive metadata schema for all data contained within digital archive","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
98,2,"METS","container for IE manifest (emedding all other schemas used such as DC, and PREMIS)","METS","Discovery & Identification","Container for other metadata schemas"
98,3,"PREMIS","DNX is the implementation of PREMIS within Rosetta","PREMIS","Discovery & Identification, Preservation","Preservation metadata"
98,4,"MODS","frequently supplied as additional sourceMD","MODS",,
98,5,"JATS","frequently supplied as additional sourceMD","JATS (Journal Article Tag Suite)","Discovery & Identification","Publications and other digital objects description"
99,1,"DataCite","Deposit / Reuse","DataCite Metadata Schema","Discovery & Identification","FAIR compliance"
99,2,"Schema.org","Deposit / Reuse","Schema.org","Discovery & Identification","Data description"
99,3,,,,,
99,4,,,,,
99,5,,,,,
100,1,"DDI","To produce metadata at the study and variable-level","DDI","Discovery & Identification","Data description"
100,1,"DDI","To produce metadata at the study and variable-level","DDI","Discovery & Identification, Reuse","Variable description"
100,2,,,,,
100,3,,,,,
100,4,,,,,
100,5,,,,,
101,1,"Dublin Core","metadata fields for deposits","Dublin Core","Discovery & Identification","Data description"
101,2,"Schema.org","discoverability in Google dataset search","Schema.org","Discovery & Identification, Access","Discovery facilitation and discovery metadata"
101,3,,,,,
101,4,,,,,
101,5,,,,,
102,1,,,,,
102,2,,,,,
102,3,,,,,
102,4,,,,,
102,5,,,,,
103,1,,,,,
103,2,,,,,
103,3,,,,,
103,4,,,,,
103,5,,,,,
104,1,"MOD (https://github.com/FAIR-IMPACT/MOD)","Description of the Semantic Artefacts","MOD (Metadata for Ontology Description)","Discovery & Identification","Ontology/Semantic artefact description"
104,2,"DCAT","MOD is based on DCAT","DCAT","Discovery & Identification","Ontology/Semantic artefact description"
104,3,"OWL",,"Other : OWL",,
104,3,"RDF","As core languages to process and parse Semantic Artefact content","Other : RDF",,"Parse and process semantic artefacts"
104,3,"RDFS",,"Other : RDFS",,
104,3,"SKOS",,"Other : SKOS",,
104,4,,,,,
104,5,,,,,
105,1,"NeXus","Metadata schema for photon and neutron data","NeXus","Discovery & Identification","Data description (proton and neutron)"
105,2,"DICOM","Metadata schema for medical data","DICOM","Discovery & Identification","Medical data"
105,3,,,,,
105,4,,,,,
105,5,,,,,
106,1,,,,,
106,2,,,,,
106,3,,,,,
106,4,,,,,
106,5,,,,,
107,1,"DataCite",,"DataCite Metadata Schema","Discovery & Identification","Metadata export"
107,2,"OpenAIRE",,"OpenAIRE","Discovery & Identification",
107,3,"DDI",,"DDI",,
107,4,"Dublin Core",,"Dublin Core",,
107,5,"Schema.org",,"Schema.org",,
108,1,"Dublin Core","Core metadata schema used for describing all items in the repository","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
108,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
108,3,,,,,
108,4,,,,,
108,5,,,,,
109,1,,,,,
109,2,,,,,
109,3,,,,,
109,4,,,,,
109,5,,,,,
110,1,,,,,
110,2,,,,,
110,3,,,,,
110,4,,,,,
110,5,,,,,
111,1,"Dublin Core","Bibliographic","Dublin Core","Discovery & Identification","Metadata export, citational metadata"
111,2,"PREMIS","capturing preservation/audit activities","PREMIS","Discovery & Identification, Preservation","Preservation metadata"
111,2,"PREMIS","capturing preservation/audit activities","PREMIS","Discovery & Identification, Workflows, Preservation","Preservation activities"
111,3,,,,,
111,4,,,,,
111,5,,,,,
112,1,,,,,
112,2,,,,,
112,3,,,,,
112,4,,,,,
112,5,,,,,
113,1,"Dublin Core","Core metadata schema used for describing all items in the repository","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
113,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
113,3,,,,,
113,4,,,,,
113,5,,,,,
114,1,,,,,
114,2,,,,,
114,3,,,,,
114,4,,,,,
114,5,,,,,
115,1,"DataCite","metadata description/harvesting/interoperability, FAIR","Datacite Metadata Schema","Discovery & Identification","Data description"
115,1,"DataCite","metadata description/harvesting/interoperability, FAIR","Datacite Metadata Schema","Discovery & Identification","Harvesting"
115,2,"DDI","metadata description/harvesting/interoperability, FAIR","DDI","Discovery & Identification","Data description"
115,2,"DDI","metadata description/harvesting/interoperability, FAIR","DDI","Discovery & Identification","Harvesting"
115,3,"Schema.org","metadata description/harvesting/interoperability, FAIR","Schema.org","Discovery & Identification","Data description"
115,3,"Schema.org","metadata description/harvesting/interoperability, FAIR","Schema.org","Discovery & Identification","Harvesting"
115,4,"Dublin Core","metadata description/harvesting/interoperability, FAIR","Dublin Core","Discovery & Identification","Data description"
115,4,"Dublin Core","metadata description/harvesting/interoperability, FAIR","Dublin Core","Discovery & Identification","Harvesting"
115,5,"MARC-XML","metadata description/harvesting/interoperability, FAIR","MARC-XML","Discovery & Identification","Data description"
115,5,"MARC-XML","metadata description/harvesting/interoperability, FAIR","MARC-XML","Discovery & Identification","Harvesting"
116,1,"Datacite","DOI","Datacite Metadata Schema","Discovery & Identification","Identifier registration"
116,1,"DCAT3","Dataset descriptions","DCAT","Discovery & Identification","Data description"
116,2,"METS, PREMIS","Digital preservation","METS, PREMIS",,
116,3,,,,,
116,4,,,,,
116,5,,,,,
117,1,"Dublin Core","Core metadata schema used for describing all items in the repository.","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
117,2,,,,,
117,3,,,,,
117,4,,,,,
117,5,,,,,
118,1,"Dublin Core","Core metadata schema used for describing all items in the repository","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
118,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
118,3,,,,,
118,4,,,,,
118,5,,,,,
119,1,"JSON","To expose repository level metadata using DCAT and schema.org, to expose dataset level metadata using schema.org, to provide subject level metadata to [Neurobagel](https://neurobagel.org/), to register DOIs in DataCite.","Other : JSON",,"--NULL--"
119,2,"Brain Imaging Data Structure (BIDS)","All our dataset are organized in [BIDS format](https://bids-specification.readthedocs.io/en/stable/). It is a community standard for organizing neuroscientific data and metadata.","BIDS (Brain Imaging Data Structure)","Discovery & Identification, Reuse","Dataset organization"
119,3,,,,,
119,4,,,,,
119,5,,,,,
120,1,"Dublin Core","Core metadata schema used for describing all items in the repository","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
120,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
120,3,,,,,
120,4,,,,,
120,5,,,,,
121,1,"Dublin Core","Core metadata schema used for describing all items in the repository.","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
121,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
121,3,,,,,
121,4,,,,,
121,5,,,,,
122,1,,,,,
122,2,,,,,
122,3,,,,,
122,4,,,,,
122,5,,,,,
123,1,,,,,
123,2,,,,,
123,3,,,,,
123,4,,,,,
123,5,,,,,
124,1,,,,,
124,2,,,,,
124,3,,,,,
124,4,,,,,
124,5,,,,,
125,1,"Dublin Core","Core metadata Scheme used for describing all items stored in the repository","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
125,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
125,3,,,,,
125,4,,,,,
125,5,,,,,
126,1,"Dublin Core","Core metadata schema used for describing all items in the repository","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
126,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
126,3,,,,,
126,4,,,,,
126,5,,,,,
127,1,,,,,
127,2,,,,,
127,3,,,,,
127,4,,,,,
127,5,,,,,
128,1,"DataCite","For metadata exports & doi registration","DataCite Metadata Schema","Discovery & Identification","Identifier registration"
128,2,"Dublin Core","For metadata exports","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
128,3,"DDI","For metadata exports","DDI","Discovery & Identification","Metadata exports"
128,4,"RO-Crate","For metadata exports","Other : RO-Crate","Discovery & Identification","Metadata export"
128,5,,,,,
129,1,"Qualified Dublin Core Core",,"Dublin Core",,
129,2,"DSpace Internal Metadata",,"DSpace Internal Metadata","Discovery & Identification",
129,3,,,,,
129,4,,,,,
129,5,,,,,
130,1,"Dublin Core","Core metadata schema used for describing all items in the repository","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
130,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
130,3,,,,,
130,4,,,,,
130,5,,,,,
131,1,"Software Metadata: codemeta-gdcc","Software","Codemeta","Discovery & Identification","Software metadata"
131,2,"Computational Workflow","Data","Other : Computational Workflow","Discovery & Identification, Workflows","Description of computational workflow"
131,3,,,,,
131,4,,,,,
131,5,,,,,
132,1,,,,,
132,2,,,,,
132,3,,,,,
132,4,,,,,
132,5,,,,,
133,1,"Dublin Core","Core metadata schema used for describing all items in the repository.","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
133,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
133,3,,,,,
133,4,,,,,
133,5,,,,,
134,1,"Dublin Core","Core metadata schema used for describing all items in the repository","Dublin Core","Discovery & Identification","Core metadata for diverse elements"
134,2,"DSpace Internal Metadata","Tracking system-level metadata","DSpace Internal Metadata","Workflows","Tracking system-level metadata"
134,3,,,,,
134,4,,,,,
134,5,,,,,
135,1,"Dublin Core","For most of the collections","Dublin Core","Discovery & Identification","Collection description"
135,2,"Custom","Special collection ingested separately by Preservica","Internal : Custom","Discovery & Identification","Special collection ingested separately by Preservica"
135,3,,,,,
135,4,,,,,
135,5,,,,,
136,1,,,,,
136,2,,,,,
136,3,,,,,
136,4,,,,,
136,5,,,,,
137,1,,,,,
137,2,,,,,
137,3,,,,,
137,4,,,,,
137,5,,,,,
138,1,,,,,
138,2,,,,,
138,3,,,,,
138,4,,,,,
138,5,,,,,
139,1,,,,,
139,2,,,,,
139,3,,,,,
139,4,,,,,
139,5,,,,,
140,1,"C4D","Main metadata schema of the repository.","C4D (CERIF for Datasets)","Discovery & Identification","Main metadata schema"
140,2,"Dublin Core","Metadata schema that can be used to additionally describe digital objects and that is used for OAI-PMH metadata export.","Dublin Core","Discovery & Identification","Additional data description"
140,2,"Dublin Core","Metadata schema that can be used to additionally describe digital objects and that is used for OAI-PMH metadata export.","Dublin Core","Discovery & Identification","Harvesting"
140,3,"DICOM","Metadata schema that can be used to additionally describe digital objects.","DICOM","Discovery & Identification","Additional data description"
140,4,"CIF","Metadata schema that can be used to additionally describe digital objects.","Other : CIF (Crystallographic Information File)","Discovery & Identification","Additional data description"
140,5,,,,,
141,1,"METS","Internal discovery model, mapped against GCMD DIF, DCAT, schema.org, EML and many others for consumption externally.","METS","""Curation, Quality & Compliance"", Discovery & Identification","Internal discovery model, mapped against GCMD DIF, DCAT, schema.org, EML and many others for consumption externally."
141,2,"ACDD","Extensions to the Attribute Convention for Dataset Discovery when generating discovery metadata directly from submitgted CF-NetCDF files.","ACDD (Attribute Conventions for Dataset Discovery)","Discovery & Identification, Access","Discovery facilitation and discovery metadata"
141,3,"CF conventions","Use level information for datasets.","Other : CF conventions","Discovery & Identification","Data description"
141,4,,,,,
141,5,,,,,
142,1,,,,,
142,2,,,,,
142,3,,,,,
142,4,,,,,
142,5,,,,,
143,1,,,,,
143,2,,,,,
143,3,,,,,
143,4,,,,,
143,5,,,,,
144,1,,,,,
144,2,,,,,
144,3,,,,,
144,4,,,,,
144,5,,,,,
145,1,,,,,
145,2,,,,,
145,3,,,,,
145,4,,,,,
145,5,,,,,
146,1,,,,,
146,2,,,,,
146,3,,,,,
146,4,,,,,
146,5,,,,,
147,1,,,,,
147,2,,,,,
147,3,,,,,
147,4,,,,,
147,5,,,,,
148,1,,,,,
148,2,,,,,
148,3,,,,,
148,4,,,,,
148,5,,,,,
149,1,,,,,
149,2,,,,,
149,3,,,,,
149,4,,,,,
149,5,,,,,
150,1,"Schema.org","Search engine support, SEO","Schema.org","Discovery & Identification","Search engine optimization"
150,2,"Dublin Core","Search engine support, SEO, POAI-PMH","Dublin Core","Discovery & Identification","Search engine optimization"
150,3,"ISO - International Organization for Standardization","Geo community; OAI-PMH","Other : ISO standard","Discovery & Identification","Additional data description"
150,3,"ISO - International Organization for Standardization","Geo community; OAI-PMH","Other : ISO standard","Discovery & Identification","Harvesting (client and/or server side)"
150,4,"DataCite","Content negotiation, DOI, OAI-PMH","Datacite Metadata Schema","Discovery & Identification","Harvesting (client and/or server side)"
150,5,"DIF (Directory Interchange Format)","Geo community; OAI-PMH","Other : DIF (Directory Interchange Format)",,
151,1,,,,,
151,2,,,,,
151,3,,,,,
151,4,,,,,
151,5,,,,,
152,1,"Dublin Core",,"Dublin Core",,
152,2,,,,,
152,3,,,,,
152,4,,,,,
152,5,,,,,
153,1,,,,,
153,2,,,,,
153,3,,,,,
153,4,,,,,
153,5,,,,,
154,1,,,,,
154,2,,,,,
154,3,,,,,
154,4,,,,,
154,5,,,,,
155,1,,,,,
155,2,,,,,
155,3,,,,,
155,4,,,,,
155,5,,,,,
156,1,,,,,
156,2,,,,,
156,3,,,,,
156,4,,,,,
156,5,,,,,
157,1,,,,,
157,2,,,,,
157,3,,,,,
157,4,,,,,
157,5,,,,,
158,1,"DDI","Primary standard for describing research data held, implement a subset of CESSDA Metadata Model v2.","DDI","Discovery & Identification","Data description"
158,2,"DDI","experimental products for relational and qualitative data","DDI","Discovery & Identification","experimental products for relational and qualitative data"
158,3,"DDI","Dissemination and storage of specific panel survey","DDI","Deposit & Appraisal, ""Curation, Quality & Compliance"", Access, Reuse","Dissemination and storage of specific panel survey"
158,4,"Dublin Core","Citational metadata","Dublin Core","Discovery & Identification","Metadata export, citational metadata"
158,5,,,,,
159,1,"Dublin Core","description of datasets","Dublin Core","Discovery & Identification","Data description"
159,2,"DDI","description of datasets; file metadata","DDI","Discovery & Identification","Data description"
159,2,"DDI","description of datasets; file metadata","DDI","Discovery & Identification","File description"
159,3,"ELSST","Keyword vocabulary for SSH datasets","Other : ELSST (European Language Social Science Thesaurus )","Discovery & Identification","Semantic : vocabularies and thesauri"
159,4,"CESSDA","Topic classification vocabulary for SSH datasets","CESSDA","Discovery & Identification","Semantic : vocabularies and thesauri"
159,5,"ABR (Archeologisch Basis Register; national archaeological vocabulary)","vocabulary for several metadata fields for archaeological datasets","ABR (Archeologisch Basis Register)","Discovery & Identification","Semantic : vocabularies and thesauri"
,,"Audiovisual Core",,"Audiovisual Core",,
